date,location,video,figure,source
07/10/2023,"Iran, Tehran",https://www.youtube.com/watch?v=Iqp6ofgiwYI,2,
07/10/2023,"Turkey, Istanbul",https://www.youtube.com/watch?v=Iqp6ofgiwYI,2,
07/10/2023,"Yemen",https://www.youtube.com/watch?v=Iqp6ofgiwYI,3,
07/10/2023,"Kuwait",https://www.youtube.com/watch?v=Iqp6ofgiwYI,2,
,"Turkey, Ankara",https://www.youtube.com/shorts/Mgkd_TN7YDI,,
13/10/2023,"Iraq, Baghdad",https://www.youtube.com/watch?v=gY2CFbBtPwA,4,
13/10/2023,"Jordan, Amman",https://www.youtube.com/shorts/1C5O3JRjRhg,,
,"Peru, Lima",https://www.youtube.com/watch?v=8hkerOaar_I,,
,"Colombia, Bogota",https://www.youtube.com/watch?v=wtldISOYFp8,,
13/10/2023*,"Iraq, Bagdad",https://www.youtube.com/watch?v=GdRYfXEJaHs,,
13/10/2023*,"Palestine, West Bank, Hebron",https://www.youtube.com/watch?v=GdRYfXEJaHs,,
13/10/2023*,"India, Jammu and Kashmir, Budgam",https://www.youtube.com/watch?v=GdRYfXEJaHs,,
13/10/2023*,"Lebanon, Beirut",https://www.youtube.com/watch?v=GdRYfXEJaHs,,
13/10/2023*,"Bangladesh, Dhaka",https://www.youtube.com/watch?v=GdRYfXEJaHs,,
14/10/2023,"US, Los Angeles",https://www.youtube.com/watch?v=CFVWK1_qKzM,,
14/10/2023,"Turkey, Istanbul",https://www.youtube.com/watch?v=_dE_hRmHhmY,4,
16/10/2023*,"Morocco",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/10/2023*,"Scotland, Glasgow",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/10/2023*,"Chile, Santiago",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/10/2023*,"Yemen",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/10/2023*,"Netherlands, Amsterdam",https://www.youtube.com/watch?v=C5YWdZ4tgec,4,
18/10/2023,"Jordan, Amman",https://www.youtube.com/watch?v=fNz_RWtT0iQ,3,
18/10/2023,"Egypt, Alexandria",https://www.youtube.com/watch?v=fNz_RWtT0iQ,3,
18/10/2023,"Japan, Tokyo",https://www.youtube.com/watch?v=fNz_RWtT0iQ,3,
21/10/2023,"England, Central London",https://www.youtube.com/shorts/PKOis9LF83c,,
21/10/2023,"England, Central London",https://www.youtube.com/shorts/-YuYeQ0CnpU,5,
22/10/2023,"Bosnia-Herzegovina, Sarajevo",https://www.youtube.com/watch?v=aRvFkrO2HJA,,
22/10/2023,"Serbia, Belgrade",https://www.youtube.com/watch?v=n0LYGGrm3CQ,,
22/10/2023,"Montenegro, Podgorica",https://www.youtube.com/watch?v=n0LYGGrm3CQ,,
22/10/2023,"Malaysia, Kuala Lumpur",https://www.youtube.com/watch?v=FGedPpLkB2U,3,
22/10/2023,"US, Boston",https://www.youtube.com/shorts/WcbUL3V3Y5c,3,
